Nombre Sección,Sección,Total,censo,votos_total,Participación
Mendaro sección 01001,90101001,15312.0,1399.0,960.0,0.686204431736955
Lasarte-Oria sección 01001,90201001,16553.0,1303.0,932.0,0.7152724481964697
Lasarte-Oria sección 01002,90201002,14149.0,1110.0,741.0,0.6675675675675675
Lasarte-Oria sección 01003,90201003,13592.0,1203.0,830.0,0.6899418121363259
Lasarte-Oria sección 01004,90201004,13997.0,1014.0,666.0,0.6568047337278107
Lasarte-Oria sección 01005,90201005,16030.0,536.0,382.0,0.7126865671641791
Lasarte-Oria sección 01006,90201006,14780.0,1462.0,982.0,0.6716826265389877
Lasarte-Oria sección 01007,90201007,13861.0,854.0,586.0,0.6861826697892272
Lasarte-Oria sección 01008,90201008,13889.0,859.0,598.0,0.6961583236321304
Lasarte-Oria sección 01009,90201009,14931.0,1830.0,1255.0,0.6857923497267759
Lasarte-Oria sección 01010,90201010,13440.0,730.0,463.0,0.6342465753424658
Lasarte-Oria sección 01011,90201011,13997.0,1474.0,954.0,0.6472184531886025
Lasarte-Oria sección 01012,90201012,13665.0,807.0,529.0,0.6555142503097894
Lasarte-Oria sección 01013,90201013,16591.0,1100.0,752.0,0.6836363636363636
Astigarraga sección 01001,90301001,16898.0,1677.0,1121.0,0.6684555754323196
Astigarraga sección 01002,90301002,17384.0,1647.0,1130.0,0.6860959319975714
Astigarraga sección 01003,90301003,15474.0,1709.0,1104.0,0.6459918080748976
Baliarrain sección 01001,90401001,15116.0,87.0,56.0,0.6436781609195402
Orendain sección 01001,90501001,16087.0,160.0,123.0,0.76875
Altzaga sección 01001,90601001,14018.0,128.0,87.0,0.6796875
Gaztelu sección 01001,90701001,13812.0,118.0,82.0,0.6949152542372882
,999090000,,7894.0,3083.0,0.39054978464656703
