Nombre Sección,Sección,Total,censo,votos_total,Participación,cuartil
Donostia/San Sebastián sección 01007,6901007,14924.0,606.0,398.0,0.6567656765676567,Q3
Donostia/San Sebastián sección 02001,6902001,24104.0,832.0,615.0,0.7391826923076923,Q4
Donostia/San Sebastián sección 02002,6902002,26175.0,1205.0,896.0,0.7435684647302905,Q4
Donostia/San Sebastián sección 02004,6902004,24336.0,960.0,697.0,0.7260416666666667,Q4
Donostia/San Sebastián sección 02005,6902005,19325.0,664.0,474.0,0.713855421686747,Q4
Donostia/San Sebastián sección 02006,6902006,22625.0,913.0,647.0,0.7086527929901424,Q4
Donostia/San Sebastián sección 02007,6902007,25923.0,887.0,647.0,0.7294250281848929,Q4
Donostia/San Sebastián sección 02008,6902008,24228.0,853.0,596.0,0.6987104337631888,Q4
Donostia/San Sebastián sección 02009,6902009,20045.0,740.0,537.0,0.7256756756756757,Q4
Donostia/San Sebastián sección 03001,6903001,23554.0,754.0,556.0,0.7374005305039788,Q4
Donostia/San Sebastián sección 03002,6903002,29364.0,746.0,531.0,0.7117962466487936,Q4
Donostia/San Sebastián sección 03003,6903003,18722.0,767.0,572.0,0.7457627118644068,Q4
Donostia/San Sebastián sección 03004,6903004,19363.0,849.0,622.0,0.7326266195524146,Q4
Donostia/San Sebastián sección 03005,6903005,15525.0,934.0,621.0,0.6648822269807281,Q3
Donostia/San Sebastián sección 03006,6903006,12690.0,624.0,405.0,0.6490384615384616,Q1
Donostia/San Sebastián sección 03007,6903007,15819.0,547.0,395.0,0.7221206581352834,Q3
Donostia/San Sebastián sección 03008,6903008,17863.0,628.0,452.0,0.7197452229299363,Q4
Donostia/San Sebastián sección 03009,6903009,17135.0,811.0,560.0,0.6905055487053021,Q4
Donostia/San Sebastián sección 03010,6903010,20657.0,856.0,628.0,0.7336448598130841,Q4
Donostia/San Sebastián sección 03011,6903011,17730.0,996.0,695.0,0.6977911646586346,Q4
Donostia/San Sebastián sección 03012,6903012,20879.0,1177.0,857.0,0.7281223449447749,Q4
Donostia/San Sebastián sección 03013,6903013,14077.0,921.0,634.0,0.6883821932681867,Q2
Donostia/San Sebastián sección 03014,6903014,16117.0,690.0,475.0,0.6884057971014492,Q3
Donostia/San Sebastián sección 03015,6903015,16192.0,831.0,589.0,0.7087845968712395,Q3
